task-clock	context-switches	cpu-migrations	page-faults	cycles	instructions	branches	branch-misses	label
7.91	31.0	2.0	2.0	21449371.0	32306498.0	6142488.0	6918.0	1
20.51	51.0	0.0	0.0	51391705.0	84552982.0	15341641.0	14893.0	1
19.41	75.0	0.0	1.0	50668466.0	75721596.0	13953790.0	85889.0	1
2.55	28.0	0.0	0.0	6755122.0	1578011.0	1490095.0	4965.0	1
24.59	61.0	0.0	2.0	64033164.0	101135757.0	17769433.0	15236.0	1
11.48	30.0	3.0	5.0	30108206.0	46146058.0	8928353.0	6028.0	1
22.65	20.0	2.0	0.0	60630131.0	96809557.0	17109970.0	10799.0	1
5.36	41.0	5.0	0.0	14734499.0	22794199.0	3950264.0	5606.0	1
14.88	22.0	0.0	25.0	38490321.0	59870609.0	11114548.0	7554.0	1
23.29	28.0	2.0	5.0	61232384.0	81039224.0	14906405.0	182921.0	1
0.51	30.0	0.0	2.0	1252927.0	1129406.0	93108.0	4323.0	1
17.68	20.0	0.0	1.0	46436632.0	72280283.0	13150310.0	64981.0	1
0.32	25.0	0.0	21.0	682200.0	289837.0	58902.0	1549.0	1
28.08	64.0	4.0	12.0	71959490.0	91679400.0	16884913.0	310234.0	1
17.24	33.0	0.0	4.0	44105660.0	57839244.0	10079894.0	223832.0	1
14.34	29.0	0.0	0.0	36629948.0	56255258.0	10424721.0	10424.0	1
17.23	35.0	2.0	2.0	43740472.0	69476177.0	12099667.0	9673.0	1
25.17	51.0	2.0	5.0	64452171.0	85613431.0	16124377.0	197656.0	1
8.09	29.0	5.0	0.0	20272733.0	32034617.0	5964143.0	7463.0	1
16.36	26.0	2.0	1.0	41994802.0	67121670.0	10226304.0	252522.0	1
18.4	28.0	0.0	2.0	48103338.0	75845521.0	13478520.0	9869.0	1
0.36	33.0	1.0	24.0	779730.0	369022.0	76122.0	1320.0	1
16.99	28.0	1.0	2.0	42248605.0	66750329.0	11886870.0	11752.0	1
7.19	30.0	0.0	2.0	18344825.0	28969786.0	5109967.0	5684.0	1
29.4	44.0	5.0	32.0	75709980.0	114226869.0	19263425.0	225868.0	1
1.56	14.0	0.0	1.0	3845261.0	5879122.0	1010408.0	2371.0	1
3.96	33.0	3.0	2.0	10046231.0	15534912.0	2569109.0	17588.0	1
19.53	26.0	1.0	0.0	48575321.0	76453449.0	14367647.0	19257.0	1
0.24	29.0	0.0	0.0	488862.0	250157.0	52194.0	1557.0	1
21.96	29.0	3.0	5.0	54928810.0	81289268.0	14801790.0	84807.0	1
0.2	21.0	0.0	1.0	421803.0	188583.0	39011.0	1287.0	1
13.03	28.0	1.0	2.0	31825529.0	52847942.0	9170650.0	16198.0	1
19.94	38.0	0.0	3.0	49511431.0	78982688.0	13817690.0	21449.0	1
1.13	16.0	0.0	0.0	2642326.0	4404569.0	134857.0	4279.0	1
19.28	32.0	5.0	28.0	47562014.0	75361409.0	13522927.0	21988.0	1
22.3	35.0	3.0	1.0	54712288.0	86449902.0	15459032.0	43647.0	1
17.03	21.0	2.0	2.0	42861617.0	67472948.0	11743171.0	17297.0	1
9.53	23.0	0.0	6.0	22889839.0	27709864.0	5284612.0	100286.0	1
16.74	25.0	2.0	0.0	40510719.0	64415702.0	11184429.0	23350.0	1
8.87	29.0	1.0	1.0	22075480.0	36150241.0	6355309.0	15663.0	1
14.12	34.0	0.0	0.0	34909977.0	54499310.0	10141895.0	15172.0	1
17.76	34.0	1.0	3.0	42934341.0	67773066.0	11790886.0	21759.0	1
8.79	24.0	1.0	0.0	17996370.0	31421861.0	6111178.0	3941.0	1
11.12	36.0	1.0	18.0	26946117.0	41341459.0	7146787.0	9900.0	1
33.4	52.0	4.0	5.0	81351988.0	128262923.0	22575780.0	72795.0	1
7.78	21.0	0.0	0.0	17522361.0	28412003.0	5478856.0	4025.0	1
12.55	28.0	0.0	6.0	30038113.0	46371923.0	8377879.0	17060.0	1
28.16	38.0	3.0	1.0	69054387.0	108669938.0	19431781.0	30656.0	1
4.4	14.0	2.0	2.0	10876427.0	16620898.0	3123837.0	9704.0	1
13.58	14.0	0.0	0.0	32866537.0	53306393.0	9253704.0	11940.0	1
7.29	35.0	0.0	6.0	17779167.0	27223290.0	1029291.0	16064.0	1
16.92	31.0	2.0	0.0	41068641.0	64106581.0	12082510.0	10434.0	1
0.34	32.0	0.0	0.0	713478.0	330832.0	0.0	0.0	1
17.18	27.0	2.0	2.0	40932035.0	62052299.0	11078968.0	22185.0	1
8.31	35.0	3.0	1.0	19406602.0	30926443.0	5681709.0	4601.0	1
20.62	28.0	0.0	0.0	49006992.0	79027552.0	13778482.0	21829.0	1
8.49	31.0	1.0	3.0	20483016.0	25449248.0	5721523.0	9109.0	1
6.29	49.0	2.0	1.0	15096381.0	21517919.0	2706517.0	6252.0	1
18.79	22.0	0.0	1.0	45398677.0	74189792.0	12879199.0	10862.0	1
7.96	31.0	1.0	4.0	17295313.0	27929823.0	5446043.0	12720.0	1
23.85	51.0	0.0	4.0	56605882.0	75844675.0	11902992.0	245599.0	1
3.79	17.0	0.0	0.0	6579806.0	12049504.0	2601029.0	6957.0	1
9.71	38.0	4.0	0.0	21996046.0	36767099.0	6779924.0	4604.0	1
